09:01:52.697 -> === /flight_11.csv (14568 bytes) ===
09:01:52.697 -> t_ms,alt_m,vel_ms,accel_G,pitch_deg,roll_deg,yaw_deg,temp_C,pressure_hPa,phase
09:01:53.572 -> 22361,12.7,-0.7,1.01,-55.1,-163.5,0.0,29.0,1015.3,5
09:01:53.607 -> 22462,12.6,-0.7,1.02,-53.1,-165.6,0.0,29.0,1015.3,5
09:01:53.607 -> 22564,12.5,-0.8,1.01,-53.1,-165.3,0.0,29.0,1015.3,5
09:01:53.607 -> 22763,12.4,-0.8,1.00,-54.5,-163.3,0.0,29.0,1015.3,5
09:01:53.607 -> 22864,12.3,-0.9,1.00,-55.3,-160.5,0.0,29.0,1015.4,5
09:01:53.607 -> 22966,12.2,-0.9,1.01,-51.5,-157.1,0.0,29.0,1015.4,5
09:01:53.607 -> 23068,12.1,-0.8,1.08,-50.0,-163.5,0.0,29.0,1015.4,5
09:01:53.641 -> 23169,12.1,-0.8,1.01,-54.6,-159.7,0.0,29.0,1015.4,5
09:01:53.641 -> 23270,12.0,-0.8,0.99,-50.5,-161.6,0.0,29.0,1015.4,5
09:01:53.641 -> 23372,12.0,-0.8,0.98,-57.5,-157.5,0.0,29.0,1015.4,5
09:01:53.641 -> 23474,11.8,-0.9,1.08,-54.8,-158.8,0.0,29.0,1015.4,5
09:01:53.641 -> 23575,11.7,-0.9,1.03,-56.0,-158.9,0.0,29.0,1015.4,5
09:01:53.641 -> 23676,11.7,-0.9,1.09,-49.1,-168.4,0.0,29.0,1015.4,5
09:01:53.677 -> 23820,11.5,-1.0,1.13,-45.3,-145.8,0.0,29.0,1015.5,5
09:01:53.677 -> 23921,11.4,-1.1,0.91,-53.3,-165.0,0.0,29.0,1015.5,5
09:01:53.677 -> 24023,11.3,-1.1,0.94,-47.9,-152.6,0.0,29.0,1015.5,5
09:01:53.677 -> 24125,11.2,-1.1,1.00,-46.4,-157.5,0.0,29.0,1015.5,5
09:01:53.677 -> 24226,11.1,-1.1,1.03,-49.3,-161.9,0.0,29.0,1015.5,5

09:01:53.709 -> 24879,10.5,-0.9,0.94,-45.0,-148.0,0.0,29.0,1015.6,5
09:01:53.709 -> 24981,10.5,-0.8,1.08,-56.2,-156.1,0.0,29.0,1015.6,5
09:01:53.743 -> 25082,10.4,-0.8,1.09,-41.9,-153.1,0.0,29.0,1015.6,5
09:01:53.743 -> 25183,10.4,-0.7,0.94,-46.7,-157.4,0.0,29.0,1015.6,5
09:01:53.743 -> 25285,10.3,-0.7,1.10,-39.0,-156.5,0.0,29.0,1015.6,5
09:01:53.743 -> 25387,10.2,-0.8,1.08,-55.7,-151.5,0.0,29.0,1015.6,5
09:01:53.743 -> 25488,10.1,-0.8,1.00,-65.5,-149.9,0.0,29.0,1015.6,5
09:01:53.743 -> 25589,10.0,-0.9,1.08,-63.0,-129.7,0.0,29.0,1015.6,5
09:01:53.775 -> 25691,9.9,-0.9,0.98,-66.2,-157.3,0.0,29.0,1015.6,5
09:01:53.775 -> 25793,9.8,-1.0,1.00,-63.8,-173.4,0.0,29.0,1015.7,5
09:01:53.775 -> 25940,9.7,-1.0,0.97,-59.2,-159.4,0.0,29.0,1015.7,5
09:01:53.775 -> 26042,9.6,-1.0,0.92,-62.1,-178.7,0.0,29.0,1015.7,5
09:01:53.775 -> 26143,9.5,-1.0,1.04,-65.5,-159.6,0.0,29.0,1015.7,5
09:01:53.775 -> 26245,9.4,-1.0,0.99,-66.1,-170.8,0.0,29.0,1015.7,5
09:01:53.808 -> 26346,9.4,-0.8,0.99,-72.4,-155.7,0.0,29.0,1015.7,5
09:01:53.808 -> 26447,9.3,-0.8,1.01,-66.0,-165.2,0.0,29.0,1015.7,5
09:01:53.808 -> 26548,9.3,-0.8,1.00,-64.5,-179.8,0.0,29.0,1015.7,5
09:01:53.808 -> 26650,9.2,-0.6,1.06,-56.1,179.8,0.0,29.0,1015.7,5
09:01:53.808 -> 26751,9.2,-0.5,0.92,-61.0,164.5,0.0,29.0,1015.7,5
09:01:53.808 -> 26853,9.2,-0.5,0.96,-65.4,174.6,0.0,29.0,1015.7,5
09:01:53.842 -> 27006,9.1,-0.6,1.03,-52.1,178.6,0.0,29.0,1015.7,5
09:01:53.842 -> 27107,9.0,-0.7,0.98,-61.6,175.3,0.0,29.0,1015.7,5
